"workflow_id","display_name","specialty","risk_tier","source_status","verdict","p0","p1","p2","p3","finding_codes"
"gp-fever-urti","Fever","General Medicine / GP","tier_2","source_gap","failed","4","1","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P1:TEMPERATURE_LABEL_MISMATCH | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-cough","Cough","General Medicine / GP","tier_2","source_gap","failed","4","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-sore-throat","Sore throat","General Medicine / GP","tier_2","source_gap","failed","5","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-headache","Headache","General Medicine / GP","tier_2","source_gap","failed","4","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-dizziness","Dizziness","General Medicine / GP","tier_2","source_mapped_with_gaps","failed","4","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
"gp-fatigue","Fatigue","General Medicine / GP","tier_2","source_gap","failed","5","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-abdominal-pain","Abdominal pain","General Medicine / GP","tier_2","source_gap","failed","5","0","2","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_INVESTIGATIONS | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:BROAD_ALIAS_REVIEW | P2:GENERIC_PROMPT_DENSITY"
"gp-nausea","Nausea/Vomiting","General Medicine / GP","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-diarrhea","Diarrhea","General Medicine / GP","tier_2","source_gap","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY"
"gp-constipation","Constipation","General Medicine / GP","tier_2","source_mapped_with_gaps","failed","4","0","1","0","P0:PRECONFIRMED_PRECHECKED_FOLLOW_UP | P0:PRECONFIRMED_PRECHECKED_PLAN_PHRASES | P0:PRECONFIRMED_PRECHECKED_RELEVANT_NEGATIVES | P0:PRECONFIRMED_PRECHECKED_SYMPTOMS | P2:GENERIC_PROMPT_DENSITY | ungraded:SOURCE_MISSING_PUBLICATION_DATE"
