"workflow_number","workflow_id","workflow_title","specialty","item_id","item_category","item_type","item_text","activation_state","current_evidence_status","currently_associated_source_ids","current_uae_applicability_status","safety_classification","clinician_review_required","safety_review_required","candidate_count","candidate_evidence_links"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--workflow-presentation--chief-complaint","workflow_identity","workflow_presentation","Fever","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--legacy-diagnosis-label--diagnosis","workflow_identity","legacy_diagnosis_label","Viral URTI","optional","unsupported_legacy_review_required","[]","partial_applicability","clinical_decision","true","true","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-1","aliases_and_matching_terms","matching_alias","Fever","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-2","aliases_and_matching_terms","matching_alias","pyrexia","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-3","aliases_and_matching_terms","matching_alias","high temperature","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-4","aliases_and_matching_terms","matching_alias","hot","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-5","aliases_and_matching_terms","matching_alias","flu-like symptoms","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-6","aliases_and_matching_terms","matching_alias","cold","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-7","aliases_and_matching_terms","matching_alias","Viral URTI / Common cold","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-8","aliases_and_matching_terms","matching_alias","common cold","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-9","aliases_and_matching_terms","matching_alias","upper respiratory infection","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-10","aliases_and_matching_terms","matching_alias","URTI","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-11","aliases_and_matching_terms","matching_alias","Pediatric fever","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-12","aliases_and_matching_terms","matching_alias","child fever","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-13","aliases_and_matching_terms","matching_alias","fever in infant","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-14","aliases_and_matching_terms","matching_alias","baby fever","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
"1","gp-fever-urti","Fever","General Medicine / GP","gp-fever-urti--matching-alias--alias-15","aliases_and_matching_terms","matching_alias","high temperature in child","optional","unsupported_legacy_review_required","[]","partial_applicability","routine_documentation","true","false","0","[]"
