workflow_id,title,specialty_id,specialty_name,semantic_aliases_count,matching_terms_count,supporting_terms_count,chips_count,has_autofill,has_source_history_draft,has_scribe_clean_history_template,history_placeholder_count,has_exam_details,has_investigation_options,has_plan_options,has_medication_options,review_required,safety_note,risk_level,risk_reasons,matching_readiness_status,matching_readiness_reasons,scribe_readiness_status,reviewed_by,review_type,date_reviewed,blockers,missing_fields
"gp-fever-urti","Fever","general_medicine_gp","General Medicine / GP","25","24","204","45","true","true","true","5","true","true","true","true","true","Document only if assessed. These prompts are documentation support, not examination instructions. | Documentation options only. Clinician confirms each selected item. No treatment recommendations. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Editable documentation draft only. Keep only details assessed or discussed by the clinician. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","ready_for_simulated_scribe_testing","Hossam","export_quality_review","2026-06-06","",""
"gp-cough","Cough","general_medicine_gp","General Medicine / GP","16","15","166","39","true","true","true","8","true","true","true","true","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation options only. Clinician confirms each selected item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-sore-throat","Sore throat","general_medicine_gp","General Medicine / GP","19","15","140","37","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-headache","Headache","general_medicine_gp","General Medicine / GP","17","18","150","40","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-dizziness","Dizziness","general_medicine_gp","General Medicine / GP","17","16","139","36","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-fatigue","Fatigue","general_medicine_gp","General Medicine / GP","19","17","153","43","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-abdominal-pain","Abdominal pain","general_medicine_gp","General Medicine / GP","18","15","173","44","true","true","true","8","true","true","true","true","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation options only. Clinician confirms each item. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","ready_for_simulated_scribe_testing","Hossam","export_quality_review","2026-06-06","",""
"gp-nausea","Nausea/Vomiting","general_medicine_gp","General Medicine / GP","16","16","131","33","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-diarrhea","Diarrhea","general_medicine_gp","General Medicine / GP","15","13","138","34","true","true","true","9","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-constipation","Constipation","general_medicine_gp","General Medicine / GP","16","15","132","32","true","true","true","7","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","routine","","good","","needs_review","","","","Clinician review required by source data",""
"gp-chest-pain","Chest pain","general_medicine_gp","General Medicine / GP","16","14","166","46","true","true","true","9","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","emergency","manual-high-risk-list | plan/investigation keyword present | title keyword: chest pain","good","emergency workflow requires careful handling","needs_review","","","","Clinician review required by source data | Emergency workflows require clinician sign-off | High-risk workflow requires manual review",""
"gp-palpitations","Palpitations","general_medicine_gp","General Medicine / GP","17","15","147","38","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","emergency","manual-high-risk-list | title keyword: palpitations","good","emergency workflow requires careful handling","needs_review","","","","Clinician review required by source data | Emergency workflows require clinician sign-off | High-risk workflow requires manual review",""
"gp-shortness-of-breath","Shortness of breath","general_medicine_gp","General Medicine / GP","16","15","159","48","true","true","true","8","true","true","true","false","true","Document only if assessed. Use only clinician-confirmed findings. | Documentation prompts only. Documented. No treatment recommendations. Clinician review required. | Documentation prompts only. No treatment or triage recommendations. Clinician review required. Local protocol applies. | Documented if assessed. Documented. Documented. Documented. Defaults are suggestions only. Keep only items personally assessed or discussed; remove anything not confirmed. Doctor-entered impression and plan are required before generation. | Reviewed if relevant. Reviewed. Reviewed. Reviewed. Documentation prompts only. Documented. No treatment recommendations. Clinician review required.","emergency","manual-high-risk-list | plan/investigation keyword present | title keyword: shortness of breath","good","emergency workflow requires careful handling","needs_review","","","","Clinician review required by source data | Emergency workflows require clinician sign-off | High-risk workflow requires manual review",""
