"workflow_id","display_name","diagnosis_label","specialty_id","age_min_months","age_max_years","sex","excluded_from_limited_testing"
"gp-fever-urti","Fever","Viral URTI","General Medicine / GP","3","","","false"
"gp-cough","Cough","Acute bronchitis","General Medicine / GP","","","","false"
"gp-sore-throat","Sore throat","Pharyngitis","General Medicine / GP","","","","false"
"gp-headache","Headache","Migraine/Tension headache","General Medicine / GP","","","","false"
"gp-dizziness","Dizziness","Vestibular/referred","General Medicine / GP","","","","false"
"gp-fatigue","Fatigue","Anaemia workup","General Medicine / GP","","","","false"
"gp-abdominal-pain","Abdominal pain","Gastritis","General Medicine / GP","","","","false"
"gp-nausea","Nausea/Vomiting","Gastroenteritis","General Medicine / GP","","","","false"
"gp-diarrhea","Diarrhea","Acute gastroenteritis","General Medicine / GP","","","","false"
"gp-constipation","Constipation","IBS / functional","General Medicine / GP","","","","false"
"gp-chest-pain","Chest pain","GERD / reflux","General Medicine / GP","","","","false"
"gp-palpitations","Palpitations","Arrhythmia workup","General Medicine / GP","","","","false"
"gp-shortness-of-breath","Shortness of breath","Referred","General Medicine / GP","","","","false"
"gp-hypertension-followup","Hypertension follow-up","Essential hypertension","General Medicine / GP","","","","false"
"gp-diabetes-followup","Diabetes follow-up","Type 2 diabetes mellitus","General Medicine / GP","","","","false"
"gp-thyroid-followup","Thyroid follow-up","Hypothyroidism","General Medicine / GP","","","","false"
"gp-dyslipidemia-followup","Dyslipidemia follow-up","Hyperlipidemia","General Medicine / GP","","","","false"
"gp-lab-result-review","Lab result review","Various","General Medicine / GP","","","","false"
"peds-fever","Fever","Viral fever","Pediatrics","3","","","false"
"peds-cough","Cough / cold","URTI / bronchiolitis","Pediatrics","","","","false"
"peds-vomiting-diarrhea","Vomiting / diarrhea","Acute gastroenteritis","Pediatrics","","","","false"
"peds-rash","Rash","Viral exanthem","Pediatrics","","","","false"
"peds-poor-feeding","Poor feeding","Feeding difficulty","Pediatrics","","","","false"
"peds-ear-pain","Ear pain","Acute otitis media","Pediatrics","","","","false"
"peds-abdominal-pain","Abdominal pain","Constipation / referred","Pediatrics","","","","false"
"peds-routine-followup","Routine pediatric follow-up","Well child check","Pediatrics","","","","false"
"peds-vaccination","Vaccination visit","Immunization","Pediatrics","","","","false"
"peds-growth-concern","Growth concern","Failure to thrive","Pediatrics","","","","false"
"peds-development-concern","Developmental concern","Developmental delay","Pediatrics","","","","false"
"peds-school-note","School / sick note","Administrative","Pediatrics","","","","false"
"obgyn-antenatal-followup","Antenatal follow-up","Pregnancy follow-up","OB/GYN","","","female","false"
"obgyn-pelvic-pain","Pelvic pain","PID / adnexal","OB/GYN","","","female","false"
"obgyn-irregular-bleeding","Irregular bleeding","Dysfunctional uterine bleeding","OB/GYN","","","female","false"
"obgyn-vaginal-discharge","Vaginal discharge","Candidiasis / BV","OB/GYN","","","female","false"
"obgyn-contraception","Contraception counseling","Contraception","OB/GYN","","","female","false"
"obgyn-dysmenorrhea","Dysmenorrhea","Primary dysmenorrhea","OB/GYN","","","female","false"
"obgyn-postnatal-followup","Postnatal follow-up","Postnatal care","OB/GYN","","","female","false"
"obgyn-early-pregnancy","Early pregnancy symptoms","Early pregnancy","OB/GYN","","","female","false"
"obgyn-menopause","Menopause symptoms","Perimenopause","OB/GYN","","","female","false"
"obgyn-fertility","Fertility concern","Fertility workup","OB/GYN","","","female","false"
"msk-low-back-pain","Low back pain","Mechanical back pain","Orthopedics / MSK","","","","false"
"msk-neck-pain","Neck pain","Cervical strain","Orthopedics / MSK","","","","false"
"msk-knee-pain","Knee pain","Osteoarthritis","Orthopedics / MSK","","","","false"
"msk-shoulder-pain","Shoulder pain","Rotator cuff injury","Orthopedics / MSK","","","","false"
